Layer,m,n,k
Conv1,401408,64,147
CB2s,100352,256,64
CB2a_1,100352,64,64
CB2a_2,100352,64,576
CB2a_3,100352,256,64
IB2b_1,100352,64,256
IB2b_2,100352,64,576
IB2b_3,100352,256,64
IB2c_1,100352,64,256
IB2c_2,100352,64,576
IB2c_3,100352,256,64
CB3s,25088,512,256
CB3a_1,25088,128,256
CB3a_2,25088,128,1152
CB3a_3,25088,512,128
IB3b_1,25088,128,512
IB3b_2,25088,128,1152
IB3b_3,25088,512,128
IB3c_1,25088,128,512
IB3c_2,25088,128,1152
IB3c_3,25088,512,128
IB3d_1,25088,128,512
IB3d_2,25088,128,1152
IB3d_3,25088,512,128
CB4s,6272,1024,512
CB4a_1,6272,256,512
CB4a_2,6272,256,2304
CB4a_3,6272,1024,256
IB4b_1,6272,256,1024
IB4b_2,6272,256,2304
IB4b_3,6272,1024,256
IB4c_1,6272,256,1024
IB4c_2,6272,256,2304
IB4c_3,6272,1024,256
IB4d_1,6272,256,1024
IB4d_2,6272,256,2304
IB4d_3,6272,1024,256
IB4e_1,6272,256,1024
IB4e_2,6272,256,2304
IB4e_3,6272,1024,256
IB4f_1,6272,256,1024
IB4f_2,6272,256,2304
IB4f_3,6272,1024,256
CB5a_1,1568,512,1024
CB5a_2,1568,512,4608
CB5a_3,1568,2048,512
CB5s,1568,2048,1024
IB5b_1,1568,512,2048
IB5b_2,1568,512,4608
IB5b_3,1568,2048,512
IB5c_1,1568,512,2048
IB5c_2,1568,512,4608
IB5c_3,1568,2048,512
FC6,32,1000,2048
